pool_address,y,x,z,true_profit,naive_profit
0x146675ed5e167478f76c4d99000b1a85b32fa376,1.5299833260703584,1.42519481,0.0,0.1047885160703583,0.1047885160703583
0xed95858fb4a0408408a9841724f4736dc27b4367,2.140631103658731,2.02512011,0.0,0.1155109936587308,0.1155109936587308
0x194b45185ee8d898a49be57fd39985f9a8264170,1.540939954308353,1.42512011,0.0,0.1158198443083531,0.1158198443083531
0x65ade64d03a7164c8a5d5f125e0f13160a36321e,1.5412553227847112,1.42519475,0.0,0.1160605727847112,0.1160605727847112
0x991d58123a340df3fef99267f2f7a454caa77e63,1.0471867061464186,0.92511803,0.0,0.1220686761464185,0.1220686761464185
0x129b42a0e762bcca49bece91ad2e2c0f8320c2df,1.6500361792724765,1.52519469,0.0,0.1248414892724765,0.1248414892724765
0xdd6f5b74c1d91972536edda9d09d3ffad4e9aa29,1.6552974555469806,1.52511981,0.0,0.1301776455469805,0.1301776455469805
0xad5aa3b8453d4de2ffc92ac58b22af880dea1bb7,1.1569679297120488,1.02519261,0.0,0.1317753197120488,0.1317753197120488
0xb7621b8e77f7600e41cf8402f64d68594b44e788,1.3650281035185825,1.2251192649999998,0.0,0.1399088385185827,0.1399088385185827
0xcd61e8b4d1b9b835a9e1f965c797c9cdb3e4b962,1.3694607987689984,1.22519493,0.0,0.1442658687689983,0.1442658687689983
0x2608f371f02ff2e55804221c85156b801f0821f5,1.569873935834239,1.4251196899999998,0.0,0.1447542458342392,0.1447542458342392
0xb3c5463d3552408b4f98c550c9aa54414184e751,2.1929055466216454,2.0251165199999996,0.0,0.1677890266216457,0.1677890266216457
0x529255659090ca0ed1a861e5f4e7f14b80d2303e,1.7164923114869828,1.525193395,0.0,0.1912989164869827,0.1912989164869827
0xd86463a1bd252b836a8210bdfc9934e2bf46d0c0,1.8397002019524615,1.625194565,0.0,0.2145056369524616,0.2145056369524616
0x582f23b5b17f17bfd770e166fa0cd01430335740,1.8414094111778825,1.62511981,0.0,0.2162896011778823,0.2162896011778823
0x804baaea4942523d698d381a509376e7e2e6d9b0,1.2613348169017484,1.025194265,0.0,0.2361405519017483,0.2361405519017483
0xb476688f02a2e930f28cbaf78652af5e4306ff30,1.4621536103654535,1.22512029,0.0,0.2370333203654535,0.2370333203654535
0x0a856cc16a69d23fd8352399a24e4c744ae8c96f,1.2927423483383214,1.02519487,0.0,0.2675474783383214,0.2675474783383214
0x1525e7bab0a81cfe251396eb096583f7c2515f7c,1.8123531239944908,1.525191705,0.0,0.2871614189944909,0.2871614189944909
0xe03a28eb8103695746ffc3a5ed2e6f0ef13e0afb,1.6147792098182656,1.3251176100000002,0.0,0.2896615998182654,0.2896615998182654
0xbd5726964a427907fdf2c35f7771db919b848b74,1.3545907667065225,1.0251921249999998,0.0,0.3293986417065226,0.3293986417065226
0x096dcf35e1c164734d92bf26c92fd177ba5883f1,1.8632106224512648,1.52511957,0.0,0.3380910524512648,0.3380910524512648
0xabb74e26eaae3efb7d0cd91cec9ac33470f322d1,1.9064294605797631,1.52519231,0.0,0.3812371505797634,0.3812371505797634
