,cluster_id,no of V,no of E,width,len,inputs,outputs,fund_in,fund_out
3332,0xc5cdb0e816be144208ebf11c8df295635ccf1216383a59d01d15d171ee865eeb,2,1,1,1,['0xb4a7ad4388376ca7e45c85015521bac2ebeeced8'],['0x15bda97b0d8cb0165561fdd2c5415a7a5e25a443'],152.3871568725478,152.3871568725478
3333,0x99d287709ef89cf418d55932a2f633c16352d960ec66be80d6bf5812d63f28bd,4,3,1,3,['0x0e903ba59816231f22903f355320e7bbf49417f9'],['0x1d08d83c34c9c27ec6633d834f43c13d1387209e'],0.659913359087424,0.5307333053668658
3334,0x98fabec5cf71a4829ab7dfa08b7c7ef2b937d24e792e947f90f5ef7a71c90a1b,2,1,1,1,['0x6050f008a0f86553a2f9ddd595daf6bda7490ba7'],['0x7208dfa50c53d78b958f88a63bc61114de8f3704'],20.0,20.0
3335,0xd5445a786c6dc382fe9933604a4d32d3fb7d898ab61ace44e6c9a7302d4e07ec,2,1,1,1,['0x4d71986fd98cbbc33876b5ecd45d4c1dea0c808f'],['0xd2a27af4bf0f195d3e73ec3cca87f9662eb2c8c0'],2.0907568579420586,2.0907568579420586
3336,0x6c8d60519016bcebf1f4a81b0f44624df8a2d8ae7b9473e73c995385c158b7f7,2,1,1,1,['0xc8820c38a4184d83c32a65f332ce10b71d8bfe00'],['0xc4728e12cfe677fbc57b1f42a0bddefb074145ee'],6.13810847,6.13810847
3337,0x966c7249617666ba74ba2f3b8e908a68e483b48900350738dcc132de59cf9066,4,3,1,3,['0x769825ef814d4234fdbe189b31f90ced305c59b0'],['0x44618cf45b2af748c132460e2e03b9efb26bed16'],3.075954463124051,3.2
3338,0x34ca9923c6b34ff089e8e10b8fd9aa0c26e3d3297c6445a6dba6fcee9fb9feff,3,2,1,2,['0xeece33a9d9d0832d9e0e03be8405c9450731ec88'],['0x3caf0cb6c8dfc3fa138682bebc979af7ae4e5455'],14.89156404143021,14.520997354535947
3339,0x84f18611ff202ef1afa943d31fceb64e2f3b1383fd857bf637ae8d6b2b827334,2,1,1,1,['0x23f199097bbaf3e09c8d2605e3a7bf2b2b509dad'],['0xea1865b634c5cf0c7e110ec675ca8556b3ef696a'],1.0241666768461972,1.0241666768461972
3340,0xbbfda35fbe10e95208ef22eec3563f140f49f4bb8e7edd4e3b8672965ba28deb,2,1,1,1,['0x4649eaadedf06b7d56d5eff392da5f6073474b86'],['0xaf4b46d726284f4a666fba5d5c2ffd9c1da49716'],50.56479064,50.56479064
3341,0x853e19b25f6f68f2a5ac8758714f4abd54d35f71383914d107bdecffedc15477,2,1,1,1,['0x6c6b7f39242ef93e9fc76f39bebeb7a8ed5ffdbd'],['0xea4853cf5f5001ee859da52f21835425ac1dc82c'],4.686004566,4.686004566
